"NOAA.ID","study.name","early.year","recent.year","lat","long","elev"
"31053","CANA611",1862,2017,50.853,-120.52,1000
"3108","AZ080",1598,1971,36.1,-109.35,1905
"3113","AZ083",1500,1971,36.22,-109.35,1951
"3116","UT023",1347,1972,37.62,-110.02,1859
"3187","WA085",1515,1987,47.37,-121.33,798
"3188","WA086",1288,1987,47.83,-123.03,867
"3189","WA087",1502,1987,48.33,-121.72,1052
"3191","WA088",1394,1987,48,-124,267
"3192","WA090",1326,1987,47.88,-121.33,967
"3193","WY019",1412,1990,41.13,-106.05,2375
"3194","WA089",1539,1987,46.63,-121.83,900
"3195","WA091",1410,1987,46.8,-121.88,970
"31997","UT548",1395,2019,37.6596,-112.856,3069
"3217","AZ558",1464,1999,32.7,-109.92,3025
"3221","WA042",1520,1965,48.58,-120.17,701
"3222","MT103",1688,1965,45.83,-112.35,1676
"3225","WY005",1580,1971,44.58,-109.08,2133
"3226","MT002",1368,1965,44.55,-112.8,2084
"3228","WY013",1490,1965,43.22,-110.78,1981
"3229","CANA024",1560,1965,51.07,-115.18,1310
