"long","lat","study.id","variable","year","jan","feb","mar","apr","may","june","july","aug","sep","oct","nov","dec"
-120.52,50.853,"CANA611","ppt",1901,35,21,12,24,25,44,23,4,38,13,47,32
-109.35,36.1,"AZ080","ppt",1901,14,17,8,8,31,2,26,34,4,16,6,11
-109.35,36.22,"AZ083","ppt",1901,14,16,8,7,28,2,26,35,4,15,5,10
-110.02,37.62,"UT023","ppt",1901,11,26,11,11,16,3,13,52,1,21,3,12
-121.33,47.37,"WA085","ppt",1901,444,343,181,178,122,90,18,5,143,95,439,293
-123.03,47.83,"WA086","ppt",1901,249,236,139,199,90,72,20,3,63,103,400,242
-121.72,48.33,"WA087","ppt",1901,496,360,357,342,201,153,39,3,183,225,830,362
-124,48,"WA088","ppt",1901,412,248,178,238,97,64,21,3,81,220,561,364
-121.33,47.88,"WA090","ppt",1901,441,334,219,210,135,108,24,4,153,137,551,276
-106.05,41.13,"WY019","ppt",1901,15,36,42,61,54,37,21,33,13,16,4,58
-121.83,46.63,"WA089","ppt",1901,353,305,166,196,108,83,19,7,128,98,397,225
-121.88,46.8,"WA091","ppt",1901,338,286,161,211,119,83,23,7,112,107,408,226
-112.856,37.6596,"UT548","ppt",1901,42,202,59,66,25,11,25,176,1,36,6,73
-109.92,32.7,"AZ558","ppt",1901,93,87,32,8,20,0,256,120,41,78,28,22
-120.17,48.58,"WA042","ppt",1901,102,63,21,17,26,27,7,2,30,12,104,63
-112.35,45.83,"MT103","ppt",1901,9,18,31,45,88,48,7,14,53,7,9,28
-109.08,44.58,"WY005","ppt",1901,5,11,18,29,78,43,10,20,25,9,9,18
-112.8,44.55,"MT002","ppt",1901,9,18,24,44,64,46,8,27,34,21,10,20
-110.78,43.22,"WY013","ppt",1901,37,48,33,43,57,35,15,48,25,28,15,56
-115.18,51.07,"CANA024","ppt",1901,25,45,41,54,73,129,60,18,71,9,22,33
-115.55,51.17,"CANA022","ppt",1901,16,25,17,25,42,68,43,11,44,7,19,26
-110.72,45,"MT006","ppt",1901,15,9,18,17,70,27,8,23,40,9,12,26
-111.8,46.72,"MT100","ppt",1901,10,7,15,35,82,55,14,6,51,3,3,20
-114.33,43.67,"ID004","ppt",1901,57,74,26,17,24,10,3,7,19,33,15,79
-110.55,45.6,"MT102","ppt",1901,14,8,19,30,111,35,10,19,57,8,11,23
-119.58,49.6,"CANA016","ppt",1901,32,23,11,19,23,40,15,3,41,8,35,19
-120.05,48.42,"WA045","ppt",1901,84,59,20,18,29,32,9,2,35,10,88,51
-115.52,51.2,"CANA020","ppt",1901,23,35,22,31,52,88,54,14,55,9,28,38
-118.1,52.92,"CANA028","ppt",1901,27,20,18,21,25,60,51,22,44,18,34,29
-118.08,52.9,"CANA026","ppt",1901,28,20,18,21,25,60,51,22,45,18,33,29
-113.95,44.97,"ID005","ppt",1901,15,24,13,26,44,35,4,10,36,11,11,25
-111.27,45.42,"MT104","ppt",1901,32,22,46,53,134,41,10,23,70,13,20,70
-115.55,51.17,"CANA021","ppt",1901,20,31,20,28,49,79,50,12,51,8,24,33
-105.28,40.42,"CO036","ppt",1901,8,21,41,98,100,58,19,38,21,11,3,33
-105.28,39.93,"CO033","ppt",1901,13,23,60,113,108,52,21,43,18,13,5,41
-105.2,40.57,"CO039","ppt",1901,7,21,46,101,94,56,21,35,25,12,2,39
-120.55,50.75,"CANA013","ppt",1901,37,17,8,18,20,38,18,3,32,10,36,27
-120.55,50.75,"CANA012","ppt",1901,37,17,8,18,20,38,18,3,32,10,36,27
-120.55,50.75,"CANA011","ppt",1901,37,20,11,21,21,40,21,3,37,11,40,29
-122.5,42.92,"OR026","ppt",1901,295,196,113,110,58,19,3,22,122,71,127,173
-123.58,47.6,"WA053","ppt",1901,580,569,325,491,237,142,51,7,185,300,1061,604
-121.33,48.07,"WA049","ppt",1901,425,338,246,228,146,119,28,4,166,144,625,279
-121.4,48.05,"WA047","ppt",1901,484,375,285,265,172,118,28,5,166,153,707,308
-121.62,46.88,"WA048","ppt",1901,363,297,164,178,87,52,13,5,63,81,393,229
-110.67,44.98,"WY027","ppt",1901,30,17,34,31,97,35,10,28,57,12,20,51
-121.7,47.02,"WA050","ppt",1901,280,222,125,167,102,61,17,4,78,75,314,186
-123.05,47.98,"WA055","ppt",1901,156,128,81,128,74,68,19,2,60,74,263,148
-121.57,47.07,"WA062","ppt",1901,257,199,103,124,77,46,14,3,60,55,269,161
-123.23,47.6,"WA054","ppt",1901,370,318,198,259,124,107,22,5,123,214,613,367
-110.73,32.42,"AZ515","ppt",1901,101,121,54,10,17,0,154,122,29,51,21,7
-108.23,33.38,"NM565","ppt",1901,18,53,12,7,21,3,101,73,38,64,43,7
-109.32,33.8,"AZ514","ppt",1901,56,56,32,15,29,1,119,64,24,54,29,28
-105.27,39.93,"CO533","ppt",1901,12,22,56,108,104,51,20,42,17,13,5,39
-110.68,32.38,"AZ519","ppt",1901,92,104,49,9,15,0,142,104,27,48,19,7
-105.2,40.53,"CO537","ppt",1901,7,21,45,101,95,57,20,36,24,12,2,38
-105.13,39.45,"CO540","ppt",1901,14,14,62,104,107,53,22,54,19,16,5,35
-111.72,35.32,"AZ609","ppt",1901,64,143,31,10,58,1,57,54,2,53,24,2
-110.55,32.22,"AZ531","ppt",1901,72,97,40,7,15,0,167,107,33,60,20,4
-109.27,31.93,"AZ534","ppt",1901,50,52,26,9,9,4,196,120,26,71,34,4
-109.88,32.68,"AZ536","ppt",1901,90,81,31,7,17,0,225,114,37,79,28,21
-109.33,32,"AZ537","ppt",1901,39,46,22,6,6,2,137,89,18,55,24,3
-111.72,35.32,"AZ535","ppt",1901,64,143,31,10,58,1,57,54,2,53,24,2
-110.83,31.72,"AZ544","ppt",1901,89,111,46,10,7,0,279,131,42,78,22,4
-111.52,35.17,"AZ548","ppt",1901,36,83,17,5,31,1,47,45,2,41,17,3
-108.1,34.97,"NM572","ppt",1901,17,24,9,10,30,4,55,53,26,30,24,7
